starttime,value
"((('2020-01-14 23:07:07.950000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.050000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.100000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.150000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.200000', -78.188), -39.063), 22.937)",1.081
"((('2020-01-14 23:07:08.250000', -78.188), -39.063), 22.937)",1.081
"((('2020-01-14 23:07:08.300000', -78.188), -39.063), 22.937)",1.081
"((('2020-01-14 23:07:08.350000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.400000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.450000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.500000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.550000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.600000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.650000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.700000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.750000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.800000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.850000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.900000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:08.950000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.050000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.100000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.150000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.200000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.250000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.300000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.350000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.400000', -78.188), -39.063), 22.937)",1.081
"((('2020-01-14 23:07:09.450000', -78.188), -39.063), 22.937)",1.081
"((('2020-01-14 23:07:09.500000', -78.188), -39.063), 22.937)",1.081
"((('2020-01-14 23:07:09.550000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.600000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.650000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.700000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.750000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.800000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:09.850000', -78.188), -39.063), 22.937)",1.081
"((('2020-01-14 23:07:09.900000', -78.188), -39.063), 22.937)",1.081
"((('2020-01-14 23:07:09.950000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:10', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:10.050000', -78.188), -39.063), 22.937)",1.08
"((('2020-01-14 23:07:10.100000', -78.188), -39.063), 22.937)",1.08
