starttime,tilt1,tilt2,compass,accelerometer
2020-01-15 01:26:34.400000,-170.875,0.625,184.0,1.01
2020-01-15 01:26:34.500000,-170.875,0.625,184.0,1.01
2020-01-15 01:26:34.600000,-170.875,0.625,184.0,1.011
2020-01-15 01:26:34.700000,-170.875,0.625,184.0,1.01
2020-01-15 01:26:34.800000,-170.875,0.625,184.0,1.01
2020-01-15 01:26:34.900000,-170.875,0.625,184.0,1.012
2020-01-15 01:26:35,-170.875,0.625,184.0,1.01
2020-01-15 01:26:35.100000,-170.875,0.625,184.0,1.01
2020-01-15 01:26:35.200000,-170.875,0.625,184.0,1.011
2020-01-15 01:26:35.300000,-170.875,0.625,184.0,1.01
2020-01-15 01:26:35.400000,-170.875,0.625,184.0,1.01
2020-01-15 01:26:35.500000,-170.875,0.625,184.0,1.011
2020-01-15 01:26:35.600000,-170.875,0.625,184.0,1.01
2020-01-15 01:26:35.700000,-170.875,0.625,184.0,1.01
2020-01-15 01:26:35.800000,-170.875,0.625,184.0,1.011
2020-01-15 01:26:35.900000,-170.875,0.625,184.0,1.012
2020-01-15 01:26:36,-170.875,0.625,184.0,1.012
2020-01-15 01:26:36.100000,-170.875,0.625,184.0,1.01
2020-01-15 01:26:36.200000,-170.875,0.625,184.0,1.011
2020-01-15 01:26:36.300000,-170.875,0.625,184.0,1.011
2020-01-15 01:26:36.400000,-170.875,0.625
