starttime,tilt1,tilt2,compass,accelerometer,ax,ay,az
2020-01-19 17:53:13.500000,-5.188,-2.875,304.875,1.0,-50.0,-114.0,990.0
2020-01-19 17:53:13.600000,-5.313,-2.938,304.812,0.997,-50.0,-114.0,992.0
2020-01-19 17:53:13.700000,-5.313,-2.938,304.812,0.997,-62.0,-96.0,992.0
2020-01-19 17:53:13.800000,-6.125,-3.063,304.875,0.998,-62.0,-96.0,992.0
2020-01-19 17:53:13.900000,-6.125,-3.063,304.875,0.998,-52.0,-83.0,997.0
2020-01-19 17:53:14,-5.875,-3.25,305.375,0.996,-68.0,-109.0,991.0
2020-01-19 17:53:14.100000,-6.0,-3.375,305.687,1.005,-63.0,-111.0,991.0
2020-01-19 17:53:14.200000,-6.563,-3.625,305.812,0.999,-63.0,-111.0,996.0
2020-01-19 17:53:14.300000,-6.563,-3.625,305.812,0.999,-75.0,-126.0,996.0
2020-01-19 17:53:14.400000,-7.188,-3.875,306.062,1.006,-77.0,-133.0,996.0
2020-01-19 17:53:14.500000,-7.375,-3.938,305.437,1.007,-77.0,-133.0,984.0
2020-01-19 17:53:14.600000,-7.375,-3.938,305.437,1.007,-65.0,-129.0,1003.0
2020-01-19 17:53:14.700000,-7.563,-4.0,304.75,0.994,-90.0,-121.0,1003.0
2020-01-19 17:53:14.800000,-7.25,-4.125,304.25,1.014,-90.0,-121.0,985.0
2020-01-19 17:53:14.900000,-7.25,-4.125,304.25,1.014,-60.0,-113.0,991.0
2020-01-19 17:53:15,-7.313,-4.25,304.125,0.993,-72.0,-101.0,991.0
2020-01-19 17:53:15.100000,-6.625,-3.938,303.812,0.998,-72.0,-101.0,992.0
2020-01-19 17:53:15.200000,-6.625,-3.938,303.812,0.998,-59.0,-113.0,993.0
2020-01-19 17:53:15.300000,-6.813,-4.063,303.562,1.0,-87.0,-125.0,993.0
2020-01-19 17:53:15.400000,-6.875,-4.25,303.062,1.004,-87.0,-125.0,991.0
2020-01-19 17:53:15.500000,-6.875,-4.25,303.062,1.004,-94.0,-180.0,981.0
2020-01-19 17:53:15.600000,-8.25,-4.438,302.125,1.011,-50.0,-99.0,981.0
2020-01-19 17:53:15.700000,-6.688,-4.063,302.437,0.987,-50.0,-99.0,1009.0
2020-01-19 17:53:15.800000,-6.688,-4.063,302.437,0.987,-76.0,-67.0,995.0
2020-01-19 17:53:15.900000,-5.75,-4.0,303.0,1.014,-70.0,-36.0,995.0
2020-01-19 17:53:16,-4.313,-3.875,303.062,0.998,-70.0,-36.0,989.0
2020-01-19 17:53:16.100000,-4.313,-3.875,303.062,0.998,-58.0,-106.0,991.0
2020-01-19 17:53:16.200000,-3.75,-3.375,302.062,0.996,-65.0,-123.0,991.0
2020-01-19 17:53:16.300000,-6.5,-4.0,301.5,1.0,-65.0,-123.0,997.0
2020-01-19 17:53:16.400000,-6.5,-4.0,301.5,1.0,-65.0,-93.0,996.0
2020-01-19 17:53:16.500000,-6.125,-3.5,301.5,1.003,-69.0,-99.0,996.0
2020-01-19 17:53:16.600000,-6.688,-3.938,301.25,1.003,-69.0,-99.0,986.0
2020-01-19 17:53:16.700000,-6.688,-3.938,301.25,1.003,-52.0,-107.0,996.0
2020-01-19 17:53:16.800000,-6.25,-3.813,300.562,0.993,-64.0,-120.0,996.0
2020-01-19 17:53:16.900000,-6.25,-3.563,299.437,1.005,-64.0,-120.0,992.0
2020-01-19 17:53:17,-6.25,-3.563,299.437,1.005,-58.0,-85.0,992.0
2020-01-19 17:53:17.100000,-5.813,-3.813,298.25,0.997,-58.0,-85.0,988.0
2020-01-19 17:53:17.200000,-5.813,-3.813,298.25,0.997,-74.0,-138.0,992.0
2020-01-19 17:53:17.300000,-5.438,-3.375,296.812,1.0,-62.0,-126.0,986.0
