starttime,tilt1,tilt2,compass,accelerometer,ax,ay,az
2020-02-04 02:20:52.600000,-18.438,-37.875,196.875,1.009,-601.0,-267.0,766.0
2020-02-04 02:20:52.700000,-18.563,-37.688,197.5,1.006,-601.0,-261.0,764.0
2020-02-04 02:20:52.800000,-18.563,-37.688,197.5,1.006,-601.0,-261.0,764.0
2020-02-04 02:20:52.900000,-18.438,-37.5,197.75,1.005,-597.0,-257.0,767.0
2020-02-04 02:20:53,-18.25,-37.375,198.125,1.006,-596.0,-261.0,768.0
2020-02-04 02:20:53.100000,-18.25,-37.375,198.125,1.006,-596.0,-261.0,768.0
2020-02-04 02:20:53.200000,-18.313,-37.25,198.375,0.999,-595.0,-255.0,762.0
2020-02-04 02:20:53.300000,-18.25,-37.125,198.25,1.003,-596.0,-254.0,766.0
2020-02-04 02:20:53.400000,-18.25,-37.125,198.25,1.003,-596.0,-254.0,766.0
2020-02-04 02:20:53.500000,-18.125,-37.063,198.25,1.003,-598.0,-255.0,765.0
2020-02-04 02:20:53.600000,-17.875,-37.063,198.312,1.004,-598.0,-247.0,768.0
2020-02-04 02:20:53.700000,-17.875,-37.063,198.312,1.004,-598.0,-247.0,768.0
2020-02-04 02:20:53.800000,-18.0,-37.0,198.437,1.0,-605.0,-248.0,757.0
2020-02-04 02:20:53.900000,-17.75,-36.813,198.625,0.879,-660.0,-189.0,549.0
2020-02-04 02:20:54,-17.75,-36.813,198.625,0.879,-660.0,-189.0,549.0
2020-02-04 02:20:54.100000,-18.688,-36.938,196.375,0.995,-589.0,-40.0,802.0
2020-02-04 02:20:54.200000,-23.875,-43.125,192.187,1.123,-820.0,-73.0,764.0
2020-02-04 02:20:54.300000,-23.875,-43.125,192.187,1.123,-820.0,-73.0,764.0
2020-02-04 02:20:54.400000,-26.688,-49.188,180.875,1.126,-846.0,55.0,742.0
2020-02-04 02:20:54.500000,-31.188,-53.125,166.562,0.958,-832.0,-186.0,437.0
2020-02-04 02:20:54.600000,-31.188,-53.125,166.562,0.958,-832.0,-186.0,437.0
2020-02-04 02:20:54.700000,-36.375,-53.813,152.875,1.172,-954.0,-481.0,484.0
2020-02-04 02:20:54.800000,-38.063,-60.25,138.75,0.84,-691.0,-307.0,366.0
2020-02-04 02:20:54.900000,-38.063,-60.25,138.75,0.84,-691.0,-307.0,366.0
2020-02-04 02:20:55,-41.5,-63.375,123.062,0.987,-832.0,-343.0,407.0
2020-02-04 02:20:55.100000,-36.0,-65.688,101.062,1.345,-1228.0,-387.0,390.0
2020-02-04 02:20:55.200000,-36.0,-65.688,101.062,1.345,-1228.0,-387.0,390.0
2020-02-04 02:20:55.300000,-27.75,-68.0,78.937,0.983,-885.0,-260.0,342.0
2020-02-04 02:20:55.400000,-25.188,-65.125,59.625,0.866,-797.0,-282.0,188.0
2020-02-04 02:20:55.500000,-25.188,-65.125,59.625,0.866,-797.0,-282.0,188.0
2020-02-04 02:20:55.600000,-24.0,-60.375,48.875,1.29,-1095.0,-587.0,348.0
2020-02-04 02:20:55.700000,-27.063,-60.75,46.312,1.082,-882.0,-507.0,370.0
2020-02-04 02:20:55.800000,-27.063,-60.75,46.312,1.082,-882.0,-507.0,370.0
2020-02-04 02:20:55.900000,-29.063,-59.063,46.062,0.845,-624.0,-405.0,401.0
2020-02-04 02:20:56,-31.438,-57.875,45.625,1.055,-783.0,-457.0,541.0
2020-02-04 02:20:56.100000,-31.438,-57.875,45.625,1.055,-783.0,-457.0,541.0
2020-02-04 02:20:56.200000,-37.813,-59.25,42.75,1.204,-1060.0,-451.0,352.0
2020-02-04 02:20:56.300000,-38.688,-61.313,35.75,0.945,-786.0,-385.0,358.0
2020-02-04 02:20:56.400000,-38.688,-61.313,35.75,0.945,-786.0,-385.0,358.0
2020-02-04 02:20:56.500000,-36.625,-60.5,27.75,1.005,-849.0,-520.0,143.0
2020-02-04 02:20:56.600000,-28.313,-56.125,18.625,1.302,-1020.0,-675.0,449.0
2020-02-04 02:20:56.700000,-28.313,-56.125,18.625,1.302,-1020.0,-675.0,449.0
