,tilt1,tilt2,compass,accelerometer,ax,ay,az,ID,sx,sy,sz,type,type_str,Max_Speed,Max_Angle
0,-78.063,-21.25,357.93699999999995,1.051,-593.0,-844.0,204.0,1,0.0,0.0,0.0,3,Forehand,1.891,134.45
1,-81.875,-23.313000000000002,3.0,0.8759999999999999,-603.0,-600.0,213.0,1,-5.930000000000001,-8.440000000000001,2.0400000000000005,3,Forehand,1.891,134.45
2,-87.68799999999999,-27.125,3.625,1.064,-960.0,-367.0,278.0,1,-17.89,-22.880000000000003,6.210000000000001,3,Forehand,1.891,134.45
3,-87.68799999999999,-27.125,3.625,1.064,-960.0,-367.0,278.0,1,-39.45,-40.99000000000001,13.16,3,Forehand,1.891,134.45
4,-99.06299999999999,-39.813,356.06199999999995,2.22,-2095.0,-172.0,716.0,1,-70.61000000000001,-62.77000000000001,22.89,3,Forehand,1.891,134.45
5,-84.0,-67.438,316.687,2.812,-2717.0,-706.0,168.0,1,-122.72000000000003,-86.27000000000001,39.78,3,Forehand,1.891,134.45
6,-84.0,-67.438,316.687,2.812,-2717.0,-706.0,168.0,1,-202.00000000000003,-116.83000000000001,58.35000000000001,3,Forehand,1.891,134.45
7,-9.937999999999999,-24.188000000000002,219.312,1.128,-1103.0,-203.0,-124.0,1,-308.45000000000005,-154.45000000000002,78.60000000000001,3,Forehand,1.891,134.45
8,-15.687999999999999,4.875,209.562,0.48,-98.0,-435.0,-180.0,1,-425.93000000000006,-194.10000000000002,97.61000000000001,3,Forehand,1.891,134.45
9,-88.68799999999999,-12.937999999999999,6.437,1.01,-521.0,-852.0,152.0,2,0.0,0.0,0.0,3,Forehand,2.023,147.213
10,-88.75,-3.438,7.812,1.2,-766.0,-917.0,113.0,2,-5.210000000000001,-8.520000000000001,1.5200000000000002,3,Forehand,2.023,147.213
11,-64.813,-11.562999999999999,348.43699999999995,1.535,-1342.0,-398.0,632.0,2,-18.080000000000005,-26.21,4.170000000000001,3,Forehand,2.023,147.213
12,-64.813,-11.562999999999999,348.43699999999995,1.535,-1342.0,-398.0,632.0,2,-44.37000000000001,-47.88,13.14,3,Forehand,2.023,147.213
13,-44.875,-34.5,309.5,2.5989999999999998,-2560.0,344.0,289.0,2,-84.08000000000001,-73.53,28.43,3,Forehand,2.023,147.213
14,-9.5,-33.0,223.125,2.451,-2381.0,-197.0,-550.0,2,-149.39000000000001,-95.74000000000001,46.61,3,Forehand,2.023,147.213
15,-9.5,-33.0,223.125,2.451,-2381.0,-197.0,-550.0,2,-238.51000000000002,-119.92000000000002,59.29,3,Forehand,2.023,147.213
16,17.125,-13.0,168.187,0.634,-332.0,-249.0,480.0,2,-351.44000000000005,-146.07000000000002,66.47,3,Forehand,2.023,147.213
17,18.0,-18.875,148.562,0.838,-538.0,-27.0,643.0,2,-467.69000000000005,-174.71000000000004,78.45,3,Forehand,2.023,147.213
18,-67.625,-18.813,343.93699999999995,0.821,-491.0,-372.0,544.0,3,0.0,0.0,0.0,3,Forehand,1.95,136.841
