start,end,avg
2020-01-10 20:16:56.800000,2020-01-10 20:16:57,0.996,g
2020-01-10 20:16:57,2020-01-10 20:16:57.200000,0.994,g
2020-01-10 20:16:57.200000,2020-01-10 20:16:57.400000,0.996,g
2020-01-10 20:16:57.400000,2020-01-10 20:16:57.600000,0.995,g
2020-01-10 20:16:57.600000,2020-01-10 20:16:57.800000,0.995,g
2020-01-10 20:16:57.800000,2020-01-10 20:16:58,0.993,g
2020-01-10 20:16:58,2020-01-10 20:16:58.200000,0.995,g
2020-01-10 20:16:58.200000,2020-01-10 20:16:58.400000,0.996,g
2020-01-10 20:16:58.400000,2020-01-10 20:16:58.600000,0.993,g
2020-01-10 20:16:58.600000,2020-01-10 20:16:58.800000,0.995,g
2020-01-10 20:16:58.800000,2020-01-10 20:16:59,0.994,g
2020-01-10 20:16:59,2020-01-10 20:16:59.200000,0.994,g
2020-01-10 20:16:59.200000,2020-01-10 20:16:59.400000,0.996,g
2020-01-10 20:16:59.400000,2020-01-10 20:16:59.600000,0.997,g
2020-01-10 20:16:59.600000,2020-01-10 20:16:59.800000,0.997,g
2020-01-10 20:16:59.800000,2020-01-10 20:17:00,0.996,g
2020-01-10 20:17:00,2020-01-10 20:17:00.200000,0.998,g
2020-01-10 20:17:00.200000,2020-01-10 20:17:00.400000,0.996,g
2020-01-10 20:17:00.400000,2020-01-10 20:17:00.600000,0.993,g
2020-01-10 20:17:00.600000,2020-01-10 20:17:00.800000,0.996,g
2020-01-10 20:17:00.800000,2020-01-10 20:17:01,0.993,g
2020-01-10 20:17:01,2020-01-10 20:17:01.200000,0.995,g
2020-01-10 20:17:01.200000,2020-01-10 20:17:01.400000,0.991,g
2020-01-10 20:17:01.400000,2020-01-10 20:17:01.600000,0.994,g
2020-01-10 20:17:01.600000,2020-01-10 20:17:01.800000,0.997,g
2020-01-10 20:17:01.800000,2020-01-10 20:17:02,0.994,g
2020-01-10 20:17:02,2020-01-10 20:17:02.200000,0.998,g
2020-01-10 20:17:02.200000,2020-01-10 20:17:02.400000,0.995,g
2020-01-10 20:17:02.400000,2020-01-10 20:17:02.600000,0.994,g
2020-01-10 20:17:02.600000,2020-01-10 20:17:02.800000,0.996,g
2020-01-10 20:17:02.800000,2020-01-10 20:17:03,0.996,g
2020-01-10 20:17:03,2020-01-10 20:17:03.200000,0.995,g
2020-01-10 20:17:03.200000,2020-01-10 20:17:03.400000,0.995,g
2020-01-10 20:17:03.400000,2020-01-10 20:17:03.600000,0.995,g
2020-01-10 20:17:03.600000,2020-01-10 20:17:03.800000,0.995,g
2020-01-10 20:17:03.800000,2020-01-10 20:17:04,0.996,g
2020-01-10 20:17:04,2020-01-10 20:17:04.200000,0.994,g
2020-01-10 20:17:04.200000,2020-01-10 20:17:04.400000,0.994,g
2020-01-10 20:17:04.400000,2020-01-10 20:17:04.600000,0.995,g
2020-01-10 20:17:04.600000,2020-01-10 20:17:04.800000,0.994,g
2020-01-10 20:17:04.800000,2020-01-10 20:17:05,0.994,g
2020-01-10 20:17:05,2020-01-10 20:17:05.200000,0.994,g
2020-01-10 20:17:05.200000,2020-01-10 20:17:05.400000,0.995,g
2020-01-10 20:17:05.400000,2020-01-10 20:17:05.600000,0.995,g
2020-01-10 20:17:05.600000,2020-01-10 20:17:05.800000,0.994,g
2020-01-10 20:17:05.800000,2020-01-10 20:17:06,0.994,g
2020-01-10 20:17:06,2020-01-10 20:17:06.200000,0.995,g
2020-01-10 20:17:06.200000,2020-01-10 20:17:06.400000,0.995,g
2020-01-10 20:17:06.400000,2020-01-10 20:17:06.600000,0.995,g
2020-01-10 20:17:06.600000,2020-01-10 20:17:06.800000,0.995,g
2020-01-10 20:17:06.800000,2020-01-10 20:17:07,0.994,g
2020-01-10 20:17:07,2020-01-10 20:17:07.200000,0.995,g
2020-01-10 20:17:07.200000,2020-01-10 20:17:07.400000,0.994,g
2020-01-10 20:17:07.400000,2020-01-10 20:17:07.600000,0.995,g
2020-01-10 20:17:07.600000,2020-01-10 20:17:07.800000,0.994,g
2020-01-10 20:17:07.800000,2020-01-10 20:17:08,0.995,g
2020-01-10 20:17:08,2020-01-10 20:17:08.200000,0.995,g
2020-01-10 20:17:08.200000,2020-01-10 20:17:08.400000,0.995,g
2020-01-10 20:17:08.400000,2020-01-10 20:17:08.600000,0.995,g
2020-01-10 20:17:08.600000,2020-01-10 20:17:08.800000,0.995,g
2020-01-10 20:17:08.800000,2020-01-10 20:17:09,0.994,g
2020-01-10 20:17:09,2020-01-10 20:17:09.200000,0.995,g
2020-01-10 20:17:09.200000,2020-01-10 20:17:09.400000,0.994,g
2020-01-10 20:17:09.400000,2020-01-10 20:17:09.600000,0.995,g
2020-01-10 20:17:09.600000,2020-01-10 20:17:09.800000,0.994,g
