starttime,value
2020-01-13 12:03:58,0.995
2020-01-13 12:03:58.200000,0.993
2020-01-13 12:03:58.400000,0.995
2020-01-13 12:03:58.600000,0.992
2020-01-13 12:03:58.800000,0.991
2020-01-13 12:03:59,0.994
2020-01-13 12:03:59.200000,0.989
2020-01-13 12:03:59.400000,0.993
2020-01-13 12:03:59.600000,0.992
2020-01-13 12:03:59.800000,0.993
2020-01-13 12:04:00,0.995
2020-01-13 12:04:00.200000,0.992
2020-01-13 12:04:00.400000,0.993
2020-01-13 12:04:00.600000,0.992
2020-01-13 12:04:00.800000,0.992
2020-01-13 12:04:01,0.993
2020-01-13 12:04:01.200000,0.993
2020-01-13 12:04:01.400000,0.991
2020-01-13 12:04:01.600000,0.994
2020-01-13 12:04:01.800000,0.992
2020-01-13 12:04:02,0.989
2020-01-13 12:04:02.200000,0.999
2020-01-13 12:04:02.400000,0.994
2020-01-13 12:04:02.600000,1.132
2020-01-13 12:04:02.800000,1.223
2020-01-13 12:04:03,1.24
2020-01-13 12:04:03.200000,0.999
2020-01-13 12:04:03.400000,0.725
2020-01-13 12:04:03.600000,0.984
2020-01-13 12:04:03.800000,0.997
2020-01-13 12:04:04,0.994
2020-01-13 12:04:04.200000,0.994
2020-01-13 12:04:04.400000,0.994
2020-01-13 12:04:04.600000,0.993
2020-01-13 12:04:04.800000,0.995
