start,end,avg
2020-01-10 19:11:41,2020-01-10 19:11:41.200000,340.125,g
2020-01-10 19:11:41.200000,2020-01-10 19:11:41.400000,340.437,g
2020-01-10 19:11:41.400000,2020-01-10 19:11:41.600000,340.25,g
2020-01-10 19:11:41.600000,2020-01-10 19:11:41.800000,340.187,g
2020-01-10 19:11:41.800000,2020-01-10 19:11:42,340.375,g
2020-01-10 19:11:42,2020-01-10 19:11:42.200000,340.75,g
2020-01-10 19:11:42.200000,2020-01-10 19:11:42.400000,340.437,g
2020-01-10 19:11:42.400000,2020-01-10 19:11:42.600000,340.875,g
2020-01-10 19:11:42.600000,2020-01-10 19:11:42.800000,340.812,g
2020-01-10 19:11:42.800000,2020-01-10 19:11:43,340.312,g
2020-01-10 19:11:43,2020-01-10 19:11:43.200000,340.562,g
2020-01-10 19:11:43.200000,2020-01-10 19:11:43.400000,340.5,g
2020-01-10 19:11:43.400000,2020-01-10 19:11:43.600000,340.375,g
2020-01-10 19:11:43.600000,2020-01-10 19:11:43.800000,339.937,g
2020-01-10 19:11:43.800000,2020-01-10 19:11:44,340.125,g
2020-01-10 19:11:44,2020-01-10 19:11:44.200000,341.312,g
2020-01-10 19:11:44.200000,2020-01-10 19:11:44.400000,340.25,g
2020-01-10 19:11:44.400000,2020-01-10 19:11:44.600000,340.687,g
2020-01-10 19:11:44.600000,2020-01-10 19:11:44.800000,339.875,g
2020-01-10 19:11:44.800000,2020-01-10 19:11:45,340.437,g
2020-01-10 19:11:45,2020-01-10 19:11:45.200000,340.625,g
2020-01-10 19:11:45.200000,2020-01-10 19:11:45.400000,340.5,g
2020-01-10 19:11:45.400000,2020-01-10 19:11:45.600000,340.187,g
2020-01-10 19:11:45.600000,2020-01-10 19:11:45.800000,341.25,g
2020-01-10 19:11:45.800000,2020-01-10 19:11:46,340.812,g
2020-01-10 19:11:46,2020-01-10 19:11:46.200000,340.312,g
2020-01-10 19:11:46.200000,2020-01-10 19:11:46.400000,340.937,g
2020-01-10 19:11:46.400000,2020-01-10 19:11:46.600000,340.312,g
2020-01-10 19:11:46.600000,2020-01-10 19:11:46.800000,340.375,g
2020-01-10 19:11:46.800000,2020-01-10 19:11:47,340.125,g
2020-01-10 19:11:47,2020-01-10 19:11:47.200000,340.375,g
2020-01-10 19:11:47.200000,2020-01-10 19:11:47.400000,340.625,g
2020-01-10 19:11:47.400000,2020-01-10 19:11:47.600000,340.437,g
2020-01-10 19:11:47.600000,2020-01-10 19:11:47.800000,340.437,g
2020-01-10 19:11:47.800000,2020-01-10 19:11:48,340.75,g
2020-01-10 19:11:48,2020-01-10 19:11:48.200000,340.812,g
2020-01-10 19:11:48.200000,2020-01-10 19:11:48.400000,340.937,g
2020-01-10 19:11:48.400000,2020-01-10 19:11:48.600000,341.062,g
2020-01-10 19:11:48.600000,2020-01-10 19:11:48.800000,340.812,g
2020-01-10 19:11:48.800000,2020-01-10 19:11:49,341.125,g
2020-01-10 19:11:49,2020-01-10 19:11:49.200000,340.937,g
2020-01-10 19:11:49.200000,2020-01-10 19:11:49.400000,341.0,g
2020-01-10 19:11:49.400000,2020-01-10 19:11:49.600000,341.125,g
2020-01-10 19:11:49.600000,2020-01-10 19:11:49.800000,341.312,g
2020-01-10 19:11:49.800000,2020-01-10 19:11:50,341.312,g
2020-01-10 19:11:50,2020-01-10 19:11:50.200000,341.187,g
2020-01-10 19:11:50.200000,2020-01-10 19:11:50.400000,341.062,g
2020-01-10 19:11:50.400000,2020-01-10 19:11:50.600000,341.125,g
2020-01-10 19:11:50.600000,2020-01-10 19:11:50.800000,340.937,g
2020-01-10 19:11:50.800000,2020-01-10 19:11:51,340.937,g
2020-01-10 19:11:51,2020-01-10 19:11:51.200000,340.937,g
2020-01-10 19:11:51.200000,2020-01-10 19:11:51.400000,341.0,g
2020-01-10 19:11:51.400000,2020-01-10 19:11:51.600000,341.0,g
2020-01-10 19:11:51.600000,2020-01-10 19:11:51.800000,341.0,g
2020-01-10 19:11:51.800000,2020-01-10 19:11:52,341.0,g
2020-01-10 19:11:52,2020-01-10 19:11:52.200000,340.812,g
2020-01-10 19:11:52.200000,2020-01-10 19:11:52.400000,340.937,g
2020-01-10 19:11:52.400000,2020-01-10 19:11:52.600000,341.062,g
2020-01-10 19:11:52.600000,2020-01-10 19:11:52.800000,340.937,g
2020-01-10 19:11:52.800000,2020-01-10 19:11:53,341.062,g
