starttime,value
2020-01-14 14:05:33.600000,236.875
2020-01-14 14:05:33.800000,236.875
2020-01-14 14:05:34,237.0
2020-01-14 14:05:34.200000,236.687
2020-01-14 14:05:34.400000,236.812
2020-01-14 14:05:34.600000,236.812
2020-01-14 14:05:34.800000,236.812
2020-01-14 14:05:35,236.625
2020-01-14 14:05:35.200000,236.875
2020-01-14 14:05:35.400000,236.875
2020-01-14 14:05:35.600000,230.125
2020-01-14 14:05:35.800000,242.875
2020-01-14 14:05:36,233.875
2020-01-14 14:05:36.200000,221.375
2020-01-14 14:05:36.400000,230.625
2020-01-14 14:05:36.600000,238.5
2020-01-14 14:05:36.800000,224.75
2020-01-14 14:05:37,236.812
2020-01-14 14:05:37.200000,235.25
2020-01-14 14:05:37.400000,218.25
2020-01-14 14:05:37.600000,227.375
2020-01-14 14:05:37.800000,217.812
2020-01-14 14:05:38,221.75
2020-01-14 14:05:38.200000,224.937
2020-01-14 14:05:38.400000,224.25
2020-01-14 14:05:38.600000,226.312
2020-01-14 14:05:38.800000,224.25
2020-01-14 14:05:39,229.875
2020-01-14 14:05:39.200000,221.875
2020-01-14 14:05:39.400000,221.562
2020-01-14 14:05:39.600000,203.312
2020-01-14 14:05:39.800000,202.812
2020-01-14 14:05:40,207.875
2020-01-14 14:05:40.200000,202.312
2020-01-14 14:05:40.400000,214.625
2020-01-14 14:05:40.600000,208.75
2020-01-14 14:05:40.800000,218.187
2020-01-14 14:05:41,205.437
2020-01-14 14:05:41.200000,225.0
2020-01-14 14:05:41.400000,207.187
2020-01-14 14:05:41.600000,222.312
2020-01-14 14:05:41.800000,213.562
2020-01-14 14:05:42,214.125
2020-01-14 14:05:42.200000,201.25
2020-01-14 14:05:42.400000,202.562
2020-01-14 14:05:42.600000,221.0
2020-01-14 14:05:42.800000,210.937
2020-01-14 14:05:43,224.187
2020-01-14 14:05:43.200000,208.25
2020-01-14 14:05:43.400000,217.125
2020-01-14 14:05:43.600000,218.937
2020-01-14 14:05:43.800000,220.062
2020-01-14 14:05:44,220.75
2020-01-14 14:05:44.200000,220.187
2020-01-14 14:05:44.400000,220.25
2020-01-14 14:05:44.600000,220.187
2020-01-14 14:05:44.800000,217.75
2020-01-14 14:05:45,219.625
2020-01-14 14:05:45.200000,222.125
2020-01-14 14:05:45.400000,221.75
2020-01-14 14:05:45.600000,221.5
2020-01-14 14:05:45.800000,221.125
2020-01-14 14:05:46,221.25
2020-01-14 14:05:46.200000,221.437
2020-01-14 14:05:46.400000,221.437
2020-01-14 14:05:46.600000,221.625
2020-01-14 14:05:46.800000,221.437
2020-01-14 14:05:47,222.5
2020-01-14 14:05:47.200000,221.5
2020-01-14 14:05:47.400000,221.625
2020-01-14 14:05:47.600000,221.375
2020-01-14 14:05:47.800000,221.5
2020-01-14 14:05:48,221.562
2020-01-14 14:05:48.200000,221.562
2020-01-14 14:05:48.400000,221.375
2020-01-14 14:05:48.600000,221.312
2020-01-14 14:05:48.800000,220.812
2020-01-14 14:05:49,218.0
2020-01-14 14:05:49.200000,217.937
2020-01-14 14:05:49.400000,218.062
2020-01-14 14:05:49.600000,218.312
2020-01-14 14:05:49.800000,218.125
