start,end,avg
2020-01-10 20:15:58.800000,2020-01-10 20:15:59,4.448,g
2020-01-10 20:15:59,2020-01-10 20:15:59.200000,0.903,g
2020-01-10 20:15:59.200000,2020-01-10 20:15:59.400000,1.597,g
2020-01-10 20:15:59.400000,2020-01-10 20:15:59.600000,1.41,g
2020-01-10 20:15:59.600000,2020-01-10 20:15:59.800000,2.938,g
2020-01-10 20:15:59.800000,2020-01-10 20:16:00,2.233,g
2020-01-10 20:16:00,2020-01-10 20:16:00.200000,1.341,g
2020-01-10 20:16:00.200000,2020-01-10 20:16:00.400000,1.616,g
2020-01-10 20:16:00.400000,2020-01-10 20:16:00.600000,1.947,g
2020-01-10 20:16:00.600000,2020-01-10 20:16:00.800000,1.654,g
2020-01-10 20:16:00.800000,2020-01-10 20:16:01,1.842,g
2020-01-10 20:16:01,2020-01-10 20:16:01.200000,2.009,g
2020-01-10 20:16:01.200000,2020-01-10 20:16:01.400000,1.312,g
2020-01-10 20:16:01.400000,2020-01-10 20:16:01.600000,0.471,g
2020-01-10 20:16:01.600000,2020-01-10 20:16:01.800000,1.492,g
2020-01-10 20:16:01.800000,2020-01-10 20:16:02,1.288,g
2020-01-10 20:16:02,2020-01-10 20:16:02.200000,1.548,g
2020-01-10 20:16:02.200000,2020-01-10 20:16:02.400000,1.627,g
2020-01-10 20:16:02.400000,2020-01-10 20:16:02.600000,1.929,g
2020-01-10 20:16:02.600000,2020-01-10 20:16:02.800000,2.097,g
2020-01-10 20:16:02.800000,2020-01-10 20:16:03,4.317,g
2020-01-10 20:16:03,2020-01-10 20:16:03.200000,4.941,g
2020-01-10 20:16:03.200000,2020-01-10 20:16:03.400000,3.965,g
2020-01-10 20:16:03.400000,2020-01-10 20:16:03.600000,2.308,g
2020-01-10 20:16:03.600000,2020-01-10 20:16:03.800000,3.177,g
2020-01-10 20:16:03.800000,2020-01-10 20:16:04,1.797,g
2020-01-10 20:16:04,2020-01-10 20:16:04.200000,1.52,g
2020-01-10 20:16:04.200000,2020-01-10 20:16:04.400000,1.397,g
2020-01-10 20:16:04.400000,2020-01-10 20:16:04.600000,1.752,g
2020-01-10 20:16:04.600000,2020-01-10 20:16:04.800000,1.203,g
2020-01-10 20:16:04.800000,2020-01-10 20:16:05,1.486,g
2020-01-10 20:16:05,2020-01-10 20:16:05.200000,0.618,g
2020-01-10 20:16:05.200000,2020-01-10 20:16:05.400000,0.872,g
2020-01-10 20:16:05.400000,2020-01-10 20:16:05.600000,0.459,g
2020-01-10 20:16:05.600000,2020-01-10 20:16:05.800000,1.071,g
2020-01-10 20:16:05.800000,2020-01-10 20:16:06,0.441,g
2020-01-10 20:16:06,2020-01-10 20:16:06.200000,0.471,g
2020-01-10 20:16:06.200000,2020-01-10 20:16:06.400000,0.664,g
2020-01-10 20:16:06.400000,2020-01-10 20:16:06.600000,0.541,g
2020-01-10 20:16:06.600000,2020-01-10 20:16:06.800000,0.687,g
2020-01-10 20:16:06.800000,2020-01-10 20:16:07,0.562,g
2020-01-10 20:16:07,2020-01-10 20:16:07.200000,0.336,g
2020-01-10 20:16:07.200000,2020-01-10 20:16:07.400000,0.507,g
2020-01-10 20:16:07.400000,2020-01-10 20:16:07.600000,0.176,g
2020-01-10 20:16:07.600000,2020-01-10 20:16:07.800000,0.108,g
2020-01-10 20:16:07.800000,2020-01-10 20:16:08,0.507,g
2020-01-10 20:16:08,2020-01-10 20:16:08.200000,0.5,g
2020-01-10 20:16:08.200000,2020-01-10 20:16:08.400000,0.139,g
2020-01-10 20:16:08.400000,2020-01-10 20:16:08.600000,1.126,g
2020-01-10 20:16:08.600000,2020-01-10 20:16:08.800000,0.519,g
2020-01-10 20:16:08.800000,2020-01-10 20:16:09,0.286,g
2020-01-10 20:16:09,2020-01-10 20:16:09.200000,0.25,g
2020-01-10 20:16:09.200000,2020-01-10 20:16:09.400000,0.062,g
2020-01-10 20:16:09.400000,2020-01-10 20:16:09.600000,0.108,g
2020-01-10 20:16:09.600000,2020-01-10 20:16:09.800000,0.088,g
2020-01-10 20:16:09.800000,2020-01-10 20:16:10,0.088,g
2020-01-10 20:16:10,2020-01-10 20:16:10.200000,0.139,g
2020-01-10 20:16:10.200000,2020-01-10 20:16:10.400000,0.062,g
2020-01-10 20:16:10.400000,2020-01-10 20:16:10.600000,0.139,g
2020-01-10 20:16:10.600000,2020-01-10 20:16:10.800000,0.088,g
2020-01-10 20:16:10.800000,2020-01-10 20:16:11,0.062,g
