starttime,tilt1,tilt2,compass,accelerometer,ax,ay,az
2020-01-19 18:17:48.400000,-9.0,-1.625,321.625,0.985,-28.0,-151.0,973.0
2020-01-19 18:17:48.500000,-9.0,-1.625,321.625,0.985,-28.0,-151.0,973.0
2020-01-19 18:17:48.600000,-9.0,-1.625,321.625,0.985,-28.0,-151.0,973.0
2020-01-19 18:17:48.700000,-9.0,-1.625,321.625,0.986,-27.0,-151.0,974.0
2020-01-19 18:17:48.800000,-9.0,-1.625,321.625,0.985,-27.0,-150.0,974.0
2020-01-19 18:17:48.900000,-9.0,-1.625,321.625,0.985,-27.0,-150.0,974.0
2020-01-19 18:17:49,-9.0,-1.625,321.625,0.985,-27.0,-152.0,973.0
2020-01-19 18:17:49.100000,-9.0,-1.625,321.625,0.985,-28.0,-150.0,974.0
2020-01-19 18:17:49.200000,-9.0,-1.625,321.625,0.985,-28.0,-150.0,974.0
2020-01-19 18:17:49.300000,-9.0,-1.625,321.625,0.984,-28.0,-151.0,972.0
2020-01-19 18:17:49.400000,-9.0,-1.625,321.625,0.984,-26.0,-151.0,973.0
2020-01-19 18:17:49.500000,-9.0,-1.625,321.625,0.984,-26.0,-151.0,973.0
2020-01-19 18:17:49.600000,-9.0,-1.625,321.625,0.985,-28.0,-150.0,974.0
2020-01-19 18:17:49.700000,-9.0,-1.625,321.625,0.986,-25.0,-153.0,974.0
2020-01-19 18:17:49.800000,-9.0,-1.625,321.625,0.986,-25.0,-153.0,974.0
2020-01-19 18:17:49.900000,-9.0,-1.625,321.625,0.987,-29.0,-149.0,976.0
2020-01-19 18:17:50,-9.0,-1.563,321.625,0.984,-29.0,-151.0,972.0
2020-01-19 18:17:50.100000,-9.0,-1.563,321.625,0.984,-29.0,-151.0,972.0
2020-01-19 18:17:50.200000,-9.0,-1.563,321.625,0.985,-27.0,-153.0,973.0
2020-01-19 18:17:50.300000,-9.0,-1.563,321.625,0.984,-27.0,-153.0,972.0
2020-01-19 18:17:50.400000,-9.0,-1.563,321.625,0.984,-27.0,-153.0,972.0
2020-01-19 18:17:50.500000,-9.0,-1.563,321.625,0.985,-28.0,-149.0,974.0
2020-01-19 18:17:50.600000,-9.0,-1.563,321.625,0.985,-28.0,-151.0,973.0
2020-01-19 18:17:50.700000,-9.0,-1.563,321.625,0.985,-28.0,-151.0,973.0
2020-01-19 18:17:50.800000,-9.0,-1.563,321.625,0.985,-27.0,-152.0,973.0
2020-01-19 18:17:50.900000,-9.0,-1.563,321.625,0.985,-27.0,-150.0,974.0
2020-01-19 18:17:51,-9.0,-1.563,321.625,0.985,-27.0,-150.0,974.0
2020-01-19 18:17:51.100000,-9.0,-1.563,321.625,0.985,-28.0,-152.0,973.0
2020-01-19 18:17:51.200000,-9.0,-1.563,321.625,0.985,-27.0,-152.0,973.0
2020-01-19 18:17:51.300000,-9.0,-1.563,321.625,0.985,-27.0,-152.0,973.0
2020-01-19 18:17:51.400000,-9.0,-1.563,321.625,0.985,-28.0,-150.0,974.0
2020-01-19 18:17:51.500000,-9.0,-1.563,321.625,0.985,-28.0,-151.0,973.0
2020-01-19 18:17:51.600000,-9.0,-1.563,321.625,0.985,-28.0,-151.0,973.0
2020-01-19 18:17:51.700000,-9.0,-1.563,321.625,0.985,-27.0,-152.0,973.0
2020-01-19 18:17:51.800000,-9.0,-1.563,321.625,0.985,-27.0,-150.0,974.0
2020-01-19 18:17:51.900000,-9.0,-1.563,321.625,0.985,-27.0,-150.0,974.0
2020-01-19 18:17:52,-9.0,-1.563,321.625,0.985,-29.0,-152.0,973.0
2020-01-19 18:17:52.100000,-9.0,-1.563,321.625,0.985,-28.0,-152.0,973.0
2020-01-19 18:17:52.200000,-9.0,-1.563,321.625,0.985,-28.0,-152.0,973.0
2020-01-19 18:17:52.300000,-9.0,-1.563,321.625,0.986,-27.0,-151.0,975.0
2020-01-19 18:17:52.400000,-9.0,-1.563,321.625,0.985,-29.0,-151.0,973.0
2020-01-19 18:17:52.500000,-9.0,-1.563,321.625,0.985,-29.0,-151.0,973.0
2020-01-19 18:17:52.600000,-9.0,-1.563,321.625,0.985,-28.0,-151.0,973.0
2020-01-19 18:17:52.700000,-9.0,-1.563,321.625,0.986,-27.0,-151.0,974.0
2020-01-19 18:17:52.800000,-9.0,-1.563,321.625,0.986,-27.0,-151.0,974.0
2020-01-19 18:17:52.900000,-9.0,-1.563,321.625,0.984,-29.0,-150.0,973.0
2020-01-19 18:17:53,-9.0,-1.563,321.625,0.985,-28.0,-151.0,973.0
2020-01-19 18:17:53.100000,-9.0,-1.563,321.625,0.985,-28.0,-151.0,973.0
2020-01-19 18:17:53.200000,-9.0,-1.563,321.625,0.986,-28.0,-151.0,974.0
2020-01-19 18:17:53.300000,-9.0,-1.563,321.625,0.986,-29.0,-149.0,975.0
2020-01-19 18:17:53.400000,-9.0,-1.563,321.625,0.986,-29.0,-149.0,975.0
2020-01-19 18:17:53.500000,-9.0,-1.563,321.625,0.984,-28.0,-153.0,972.0
2020-01-19 18:17:53.600000,-9.0,-1.563,321.625,0.986,-28.0,-150.0,975.0
2020-01-19 18:17:53.700000,-9.0,-1.563,321.625,0.986,-28.0,-150.0,975.0
