start,end,avg
2020-01-10 20:19:15.400000,2020-01-10 20:19:15.600000,-177.75,g
2020-01-10 20:19:15.600000,2020-01-10 20:19:15.800000,-177.688,g
2020-01-10 20:19:15.800000,2020-01-10 20:19:16,-177.688,g
2020-01-10 20:19:16,2020-01-10 20:19:16.200000,-177.688,g
2020-01-10 20:19:16.200000,2020-01-10 20:19:16.400000,-177.688,g
2020-01-10 20:19:16.400000,2020-01-10 20:19:16.600000,-177.688,g
2020-01-10 20:19:16.600000,2020-01-10 20:19:16.800000,-177.688,g
2020-01-10 20:19:16.800000,2020-01-10 20:19:17,-177.563,g
2020-01-10 20:19:17,2020-01-10 20:19:17.200000,-177.688,g
2020-01-10 20:19:17.200000,2020-01-10 20:19:17.400000,-177.688,g
2020-01-10 20:19:17.400000,2020-01-10 20:19:17.600000,-177.688,g
2020-01-10 20:19:17.600000,2020-01-10 20:19:17.800000,-177.688,g
2020-01-10 20:19:17.800000,2020-01-10 20:19:18,-177.688,g
2020-01-10 20:19:18,2020-01-10 20:19:18.200000,-177.688,g
2020-01-10 20:19:18.200000,2020-01-10 20:19:18.400000,-177.625,g
2020-01-10 20:19:18.400000,2020-01-10 20:19:18.600000,-177.625,g
2020-01-10 20:19:18.600000,2020-01-10 20:19:18.800000,-159.438,g
2020-01-10 20:19:18.800000,2020-01-10 20:19:19,-177.625,g
2020-01-10 20:19:19,2020-01-10 20:19:19.200000,-177.625,g
2020-01-10 20:19:19.200000,2020-01-10 20:19:19.400000,-159.563,g
2020-01-10 20:19:19.400000,2020-01-10 20:19:19.600000,-177.688,g
2020-01-10 20:19:19.600000,2020-01-10 20:19:19.800000,-177.688,g
2020-01-10 20:19:19.800000,2020-01-10 20:19:20,-177.625,g
2020-01-10 20:19:20,2020-01-10 20:19:20.200000,-177.625,g
2020-01-10 20:19:20.200000,2020-01-10 20:19:20.400000,-159.063,g
2020-01-10 20:19:20.400000,2020-01-10 20:19:20.600000,-177.625,g
2020-01-10 20:19:20.600000,2020-01-10 20:19:20.800000,-159.063,g
2020-01-10 20:19:20.800000,2020-01-10 20:19:21,-177.625,g
2020-01-10 20:19:21,2020-01-10 20:19:21.200000,-159.063,g
2020-01-10 20:19:21.200000,2020-01-10 20:19:21.400000,-177.625,g
2020-01-10 20:19:21.400000,2020-01-10 20:19:21.600000,-159.25,g
2020-01-10 20:19:21.600000,2020-01-10 20:19:21.800000,-159.063,g
2020-01-10 20:19:21.800000,2020-01-10 20:19:22,-159.0,g
2020-01-10 20:19:22,2020-01-10 20:19:22.200000,-158.938,g
2020-01-10 20:19:22.200000,2020-01-10 20:19:22.400000,-159.25,g
2020-01-10 20:19:22.400000,2020-01-10 20:19:22.600000,-159.063,g
2020-01-10 20:19:22.600000,2020-01-10 20:19:22.800000,-159.25,g
2020-01-10 20:19:22.800000,2020-01-10 20:19:23,-159.063,g
2020-01-10 20:19:23,2020-01-10 20:19:23.200000,-159.25,g
2020-01-10 20:19:23.200000,2020-01-10 20:19:23.400000,-159.25,g
2020-01-10 20:19:23.400000,2020-01-10 20:19:23.600000,-159.25,g
2020-01-10 20:19:23.600000,2020-01-10 20:19:23.800000,-159.25,g
2020-01-10 20:19:23.800000,2020-01-10 20:19:24,-159.125,g
2020-01-10 20:19:24,2020-01-10 20:19:24.200000,-159.125,g
2020-01-10 20:19:24.200000,2020-01-10 20:19:24.400000,-159.125,g
2020-01-10 20:19:24.400000,2020-01-10 20:19:24.600000,-159.125,g
2020-01-10 20:19:24.600000,2020-01-10 20:19:24.800000,-159.0,g
2020-01-10 20:19:24.800000,2020-01-10 20:19:25,-159.125,g
2020-01-10 20:19:25,2020-01-10 20:19:25.200000,-159.063,g
2020-01-10 20:19:25.200000,2020-01-10 20:19:25.400000,-158.875,g
2020-01-10 20:19:25.400000,2020-01-10 20:19:25.600000,-159.063,g
2020-01-10 20:19:25.600000,2020-01-10 20:19:25.800000,-159.0,g
2020-01-10 20:19:25.800000,2020-01-10 20:19:26,-158.813,g
2020-01-10 20:19:26,2020-01-10 20:19:26.200000,-158.938,g
2020-01-10 20:19:26.200000,2020-01-10 20:19:26.400000,-158.938,g
2020-01-10 20:19:26.400000,2020-01-10 20:19:26.600000,-158.938,g
2020-01-10 20:19:26.600000,2020-01-10 20:19:26.800000,-158.813,g
2020-01-10 20:19:26.800000,2020-01-10 20:19:27,-177.563,g
2020-01-10 20:19:27,2020-01-10 20:19:27.200000,-177.563,g
