starttime,value
2020-01-13 15:50:36.200000,-175.438
2020-01-13 15:50:36.400000,-175.625
2020-01-13 15:50:36.600000,-175.625
2020-01-13 15:50:36.800000,-175.625
2020-01-13 15:50:37,-175.625
2020-01-13 15:50:37.200000,-175.5
2020-01-13 15:50:37.400000,-175.5
2020-01-13 15:50:37.600000,-175.688
2020-01-13 15:50:37.800000,-175.688
2020-01-13 15:50:38,-175.625
2020-01-13 15:50:38.200000,-175.5
2020-01-13 15:50:38.400000,-175.375
2020-01-13 15:50:38.600000,-175.5
2020-01-13 15:50:38.800000,-165.0
2020-01-13 15:50:39,-87.875
2020-01-13 15:50:39.200000,-46.063
2020-01-13 15:50:39.400000,-44.0
2020-01-13 15:50:39.600000,-57.063
2020-01-13 15:50:39.800000,-63.5
2020-01-13 15:50:40,-67.5
2020-01-13 15:50:40.200000,-73.125
2020-01-13 15:50:40.400000,-74.75
2020-01-13 15:50:40.600000,-75.75
2020-01-13 15:50:40.800000,-82.063
2020-01-13 15:50:41,-82.688
2020-01-13 15:50:41.200000,-84.063
2020-01-13 15:50:41.400000,-84.313
2020-01-13 15:50:41.600000,-86.125
2020-01-13 15:50:41.800000,-88.313
2020-01-13 15:50:42,-89.688
2020-01-13 15:50:42.200000,-90.063
2020-01-13 15:50:42.400000,-94.0
2020-01-13 15:50:42.600000,-95.813
2020-01-13 15:50:42.800000,-98.938
2020-01-13 15:50:43,-100.625
2020-01-13 15:50:43.200000,-100.125
2020-01-13 15:50:43.400000,-100.063
2020-01-13 15:50:43.600000,-99.25
2020-01-13 15:50:43.800000,-98.0
2020-01-13 15:50:44,-97.0
2020-01-13 15:50:44.200000,-99.0
2020-01-13 15:50:44.400000,-99.875
2020-01-13 15:50:44.600000,-102.188
2020-01-13 15:50:44.800000,-102.375
2020-01-13 15:50:45,-105.0
2020-01-13 15:50:45.200000,-106.625
2020-01-13 15:50:45.400000,-105.938
2020-01-13 15:50:45.600000,-106.938
2020-01-13 15:50:45.800000,-104.438
2020-01-13 15:50:46,-102.813
2020-01-13 15:50:46.200000,-98.5
2020-01-13 15:50:46.400000,-78.25
2020-01-13 15:50:46.600000,-67.438
2020-01-13 15:50:46.800000,-61.438
2020-01-13 15:50:47,-53.688
2020-01-13 15:50:47.200000,-46.25
2020-01-13 15:50:47.400000,-51.938
2020-01-13 15:50:47.600000,-52.688
2020-01-13 15:50:47.800000,-64.25
2020-01-13 15:50:48,-89.813
2020-01-13 15:50:48.200000,-97.563
2020-01-13 15:50:48.400000,-91.938
2020-01-13 15:50:48.600000,-73.375
2020-01-13 15:50:48.800000,-61.25
2020-01-13 15:50:49,-61.563
2020-01-13 15:50:49.200000,-64.25
2020-01-13 15:50:49.400000,-65.063
2020-01-13 15:50:49.600000,-63.75
2020-01-13 15:50:49.800000,-62.188
2020-01-13 15:50:50,-67.563
2020-01-13 15:50:50.200000,-72.313
2020-01-13 15:50:50.400000,-76.125
2020-01-13 15:50:50.600000,-79.063
2020-01-13 15:50:50.800000,-80.313
2020-01-13 15:50:51,-80.25
2020-01-13 15:50:51.200000,-86.563
2020-01-13 15:50:51.400000,-84.125
2020-01-13 15:50:51.600000,-82.063
2020-01-13 15:50:51.800000,-79.5
2020-01-13 15:50:52,-78.875
2020-01-13 15:50:52.200000,-59.375
